날짜,시간,경기,구장,비고
04.03(토),14:00,롯데vsSSG,문학,우천취소
04.04(일),14:00,롯데3vs5SSG,문학,-
04.06(화),18:30,한화1vs2SSG,문학,-
04.07(수),18:30,한화17vs0SSG,문학,-
04.08(목),18:30,한화4vs6SSG,문학,-
04.09(금),18:30,SSG5vs9LG,잠실,-
04.10(토),14:00,SSG4vs3LG,잠실,-
04.11(일),14:00,SSG0vs1LG,잠실,-
04.13(화),18:30,NC4vs2SSG,문학,-
04.14(수),18:30,NC3vs0SSG,문학,-
04.15(목),18:30,NC3vs9SSG,문학,-
04.16(금),18:30,KIA11vs6SSG,문학,-
04.17(토),14:00,KIA3vs4SSG,문학,-
04.18(일),14:00,KIA2vs4SSG,문학,-
04.20(화),18:30,SSG10vs7삼성,대구,-
04.21(수),18:30,SSG4vs14삼성,대구,-
04.22(목),18:30,SSG11vs6삼성,대구,-
04.23(금),18:30,SSG9vs5키움,고척,-
04.24(토),14:00,SSG5vs4키움,고척,-
04.25(일),14:00,SSG3vs4키움,고척,-
04.27(화),18:30,KT14vs5SSG,문학,-
04.28(수),18:30,KT2vs4SSG,문학,-
04.29(목),18:30,KT6vs1SSG,문학,-
04.30(금),18:30,SSG4vs9두산,잠실,-
05.01(토),17:00,SSG5vs2두산,잠실,-
05.02(일),14:00,SSG5vs8두산,잠실,-
05.04(화),18:30,SSGvsNC,창원,기타
05.05(수),14:00,SSG13vs12NC,창원,-
05.06(목),18:30,SSG1vs7NC,창원,-
05.07(금),18:30,키움vsSSG,문학,미세먼지취소
05.08(토),14:00,키움vsSSG,문학,미세먼지취소
,17:00,키움9vs2SSG,문학,-
05.09(일),14:00,키움1vs4SSG,문학,-
,17:00,키움3vs4SSG,문학,-
05.11(화),18:30,SSG7vs6롯데,사직,-
05.12(수),18:30,SSG9vs2롯데,사직,-
05.13(목),18:30,SSG4vs5롯데,사직,-
05.14(금),18:30,두산6vs3SSG,문학,-
05.15(토),17:00,두산vsSSG,문학,우천취소
05.16(일),14:00,두산vsSSG,문학,우천취소
,17:00,두산vsSSG,문학,우천취소
05.17(월),18:30,두산8vs3SSG,문학,-
05.18(화),18:30,SSG7vs5KIA,광주,-
05.19(수),14:00,SSG11vs5KIA,광주,-
05.20(목),18:30,SSGvsKIA,광주,우천취소
05.21(금),18:30,LG5vs6SSG,문학,-
05.22(토),17:00,LG3vs8SSG,문학,-
05.23(일),14:00,LG0vs8SSG,문학,-
05.25(화),18:30,SSGvsKT,수원,기타
05.26(수),18:30,SSG9vs5KT,수원,-
05.27(목),18:30,SSG5vs6KT,수원,-
05.28(금),18:30,SSG12vs3한화,대전,-
05.29(토),17:00,SSG6vs2한화,대전,-
05.30(일),14:00,SSG5vs1한화,대전,-
06.01(화),18:30,삼성0vs1SSG,문학,-
06.02(수),18:30,삼성8vs7SSG,문학,-
06.03(목),18:30,삼성vsSSG,문학,우천취소
06.04(금),18:30,SSG2vs3두산,잠실,-
06.05(토),17:00,SSG5vs8두산,잠실,-
06.06(일),17:00,SSG4vs1두산,잠실,-
06.08(화),18:30,KT4vs2SSG,문학,-
06.09(수),18:30,KT7vs3SSG,문학,-
06.10(목),18:30,KTvsSSG,문학,우천취소
06.11(금),18:30,키움6vs8SSG,문학,-
06.12(토),17:00,키움4vs5SSG,문학,-
06.13(일),17:00,키움7vs3SSG,문학,-
06.15(화),18:30,SSGvsKIA,광주,우천취소
06.16(수),15:00,SSG10vs1KIA,광주,-
,18:30,SSG0vs2KIA,광주,-
06.17(목),18:30,SSG6vs3KIA,광주,-
06.18(금),18:30,SSG3vs4한화,대전,-
06.19(토),17:00,SSG7vs5한화,대전,-
06.20(일),17:00,SSG4vs3한화,대전,-
06.22(화),18:30,LG14vs1SSG,문학,-
06.23(수),18:30,LG4vs7SSG,문학,-
06.24(목),18:30,LG5vs8SSG,문학,-
06.25(금),19:00,SSG10vs11NC,창원,-
06.26(토),17:00,SSG10vs10NC,창원,-
06.27(일),17:00,SSG3vs4NC,창원,-
06.29(화),18:30,삼성3vs10SSG,문학,-
06.30(수),15:00,삼성3vs3SSG,문학,-
,18:30,삼성4vs8SSG,문학,-
07.01(목),18:30,삼성8vs7SSG,문학,-
07.02(금),18:30,롯데6vs5SSG,문학,-
07.03(토),18:00,롯데vsSSG,문학,우천취소
07.04(일),17:00,롯데6vs4SSG,문학,-
07.05(월),18:30,롯데4vs10SSG,문학,-
07.06(화),18:30,SSG0vs4키움,고척,-
07.07(수),18:30,SSG2vs8키움,고척,-
07.08(목),18:30,SSG9vs3키움,고척,-
07.09(금),18:30,한화9vs3SSG,문학,-
07.10(토),18:00,한화3vs1SSG,문학,-
07.11(일),17:00,한화2vs8SSG,문학,-
07.13(화),18:30,두산vsSSG,문학,기타
07.14(수),18:30,두산vsSSG,문학,기타
07.15(목),18:30,두산vsSSG,문학,기타
07.16(금),18:30,SSGvs롯데,사직,기타
07.17(토),18:00,SSGvs롯데,사직,기타
07.18(일),17:00,SSGvs롯데,사직,기타
08.10(화),18:30,SSG0vs4LG,잠실,-
08.11(수),18:30,SSG5vs12LG,잠실,-
08.12(목),18:30,SSGvsLG,잠실,우천취소
08.13(금),18:30,KIA8vs1SSG,문학,-
08.14(토),18:00,KIA2vs2SSG,문학,-
08.15(일),17:00,KIA5vs10SSG,문학,-
08.17(화),18:30,NCvsSSG,문학,우천취소
08.18(수),18:30,NC1vs6SSG,문학,-
08.19(목),18:30,NC8vs5SSG,문학,-
08.20(금),18:30,SSG2vs3삼성,대구,-
08.21(토),18:00,SSGvs삼성,대구,우천취소
08.22(일),17:00,SSG4vs4삼성,대구,-
08.23(월),18:30,SSGvs삼성,대구,우천취소
08.24(화),18:30,SSG8vs9삼성,대구,-
08.25(수),18:30,SSG1vs7KT,수원,-
08.26(목),18:30,SSG5vs10KT,수원,-
08.27(금),18:30,SSG4vs6KT,수원,-
08.28(토),18:00,KIA4vs12SSG,문학,-
08.29(일),17:00,KIA0vs9SSG,문학,-
08.31(화),18:30,NCvsSSG,문학,우천취소
09.01(수),15:00,NC9vs2SSG,문학,-
,18:30,NC4vs9SSG,문학,-
09.02(목),18:30,두산1vs10SSG,문학,-
09.03(금),18:30,두산1vs3SSG,문학,-
09.04(토),17:00,SSG2vs9키움,고척,-
09.05(일),14:00,SSG8vs10키움,고척,-
09.07(화),18:30,LGvsSSG,문학,우천취소
09.08(수),18:30,LG3vs5SSG,문학,-
09.09(목),18:30,SSG9vs2롯데,사직,-
09.10(금),18:30,SSG3vs4롯데,사직,-
09.11(토),17:00,SSG2vs2KT,수원,-
09.12(일),14:00,SSG0vs10KT,수원,-
,17:00,SSG2vs3KT,수원,-
09.14(화),18:30,한화11vs5SSG,문학,-
09.15(수),18:30,한화6vs9SSG,문학,-
09.16(목),18:30,SSGvs두산,잠실,-
09.17(금),18:30,SSGvs두산,잠실,-
09.18(토),17:00,삼성vsSSG,문학,-
09.19(일),14:00,삼성vsSSG,문학,-
09.21(화),14:00,키움vsSSG,문학,-
09.22(수),14:00,키움vsSSG,문학,-
09.23(목),18:30,롯데vsSSG,문학,-
09.24(금),15:00,롯데vsSSG,문학,-
,18:30,롯데vsSSG,문학,-
09.25(토),17:00,SSGvsKIA,광주,-
09.26(일),14:00,SSGvsKIA,광주,-
09.28(화),18:30,SSGvs삼성,대구,-
09.29(수),18:30,SSGvs삼성,대구,-
09.30(목),18:30,SSGvsNC,창원,-
